method,seed,macro_f1,auc,brier,ece,unc_err_auroc,threshold,prec_normal,rec_normal,prec_pneumonia,rec_pneumonia
EffNetBinary,42,0.7106,0.7732,0.2522,0.2156,,0.1,0.7443,0.6456,0.6871,0.7782
EffNetBinary,123,0.7048,0.7689,0.2571,0.2203,,0.1,0.7381,0.6392,0.681,0.7714
EffNetBinary,777,0.7152,0.7761,0.2489,0.2119,,0.1,0.7498,0.6501,0.6912,0.783
VanillaProtoNet,42,0.6871,0.7595,0.3026,0.2982,0.5,0.05,0.666,0.7568,0.7184,0.6204
VanillaProtoNet,123,0.6793,0.7521,0.3081,0.3044,0.5,0.05,0.6598,0.749,0.7102,0.6132
VanillaProtoNet,777,0.6924,0.7638,0.2988,0.2935,0.5,0.05,0.6712,0.7612,0.7241,0.627
MatchingNet,42,0.6543,0.7284,0.3192,0.3105,0.5,0.05,0.6421,0.7105,0.6782,0.6012
MatchingNet,123,0.6478,0.7219,0.3238,0.3152,0.5,0.05,0.6358,0.7042,0.6712,0.5948
MatchingNet,777,0.6601,0.7331,0.3158,0.3071,0.5,0.05,0.648,0.7155,0.6838,0.6078
SimpleShot,42,0.6712,0.7438,0.3098,0.3021,0.5,0.05,0.6548,0.7342,0.6988,0.6112
SimpleShot,123,0.6651,0.7382,0.3141,0.3068,0.5,0.05,0.6492,0.7281,0.6921,0.6052
SimpleShot,777,0.6768,0.7491,0.3062,0.2985,0.5,0.05,0.6601,0.7398,0.7042,0.6168
UR-ProtoNet,42,0.7239,0.8151,0.2202,0.1668,0.6768,0.5,0.7312,0.7088,0.7172,0.7392
UR-ProtoNet,123,0.7185,0.8108,0.2241,0.1712,0.6721,0.5,0.7268,0.7032,0.7109,0.7342
UR-ProtoNet,777,0.7288,0.8189,0.2172,0.1635,0.681,0.5,0.7355,0.7138,0.7228,0.7441
